"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3100000","CDFF4220002015000003","20151112","","01","영업/정상","13","영업중","","","","","02-935-0930","","","서울특별시 노원구 상계동 1132-35 3층~9층","서울특별시 노원구 동일로 1660 3층~9층 (상계동 롯데시네마 수락산)","01625","롯데시네마 노원수락산역 제3관","20220418103639","U","2021-12-03 22:00:00.0","","204839.977931148","463796.381217133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF4220002006000002","20090522","","01","영업/정상","13","영업중","","","","","02-3147-3818","","","서울특별시 양천구 목동 917-6 행복한세상백화점 7층","서울특별시 양천구 목동동로 309 (목동행복한세상백화점 7층)","07997","메가박스중앙(주) 목동지점 COMFORT 2관","20220516162444","U","2021-12-04 23:08:00.0","","188977.171050288","447466.355031447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF4220002009000001","20090522","","01","영업/정상","13","영업중","","","","","02-3147-3818","","","서울특별시 양천구 목동 917-6 행복한세상백화점 7층","서울특별시 양천구 목동동로 309 (목동행복한세상백화점 7층)","07997","메가박스중앙(주) 목동지점 COMFORT 5관","20220516162445","U","2021-12-04 23:08:00.0","","188977.171050288","447466.355031447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF4220002006000005","20090522","","01","영업/정상","13","영업중","","","","","02-3147-3818","","","서울특별시 양천구 목동 917-6 행복한세상백화점 7층","서울특별시 양천구 목동동로 309 (목동행복한세상백화점 7층)","07997","메가박스중앙(주) 목동지점 COMFORT 6관","20220516162445","U","2021-12-04 23:08:00.0","","188977.171050288","447466.355031447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000003","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 3관","20220622135502","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000004","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 4관","20220622135512","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFF4220002000000024","20000504","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 159","서울특별시 강남구 영동대로 513 (삼성동 코엑스)","06164","코엑스 컴포트 5관","20220520134835","U","2021-12-04 22:02:00.0","","205130.591678902","445590.096837802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFF4220002004000009","20041007","","01","영업/정상","13","영업중","","","","","02-2012-3002","","","서울특별시 용산구 한강로3가 40-999","서울특별시 용산구 한강대로23길 55 6층 (한강로3가 현대아이파크몰)","04377","씨지브이 용산아이파크몰 제7관","20221024100551","U","2021-10-30 22:06:00.0","","196762.077394917","447480.039577359","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000006","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 6관","20220622135530","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000002","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 MX관","20220622135452","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000008","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 8관","20220622135605","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000009","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 9관","20220622135616","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000001","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 컴포트1관","20220622135442","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000007","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 7관","20220622135539","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFF4220002004000005","20041007","","01","영업/정상","13","영업중","","","","","02-2012-3002","","","서울특별시 용산구 한강로3가 40-999","서울특별시 용산구 한강대로23길 55 6층 (한강로3가 현대아이파크몰)","04377","씨지브이 용산아이파크몰 제4관","20221024091914","U","2021-10-30 22:06:00.0","","196762.077394917","447480.039577359","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002015000001","20151112","","01","영업/정상","13","영업중","","","","","02-935-0930","","","서울특별시 노원구 상계동 1132-35 3층~9층","서울특별시 노원구 동일로 1660 3층~9층 (상계동 롯데시네마 수락산)","01625","롯데시네마 노원수락산역 제1관","20220418103620","U","2021-12-03 22:00:00.0","","204839.977931148","463796.381217133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF4220002003000005","20030519","","01","영업/정상","13","영업중","","","","","02-3147-3733","","","서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층","서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층)","03932","메가박스중앙(주) 상암월드컵경기장지점 5관","20220622135520","U","2021-12-05 22:04:00.0","","191010.381048042","451972.154018501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002015000002","20151112","","01","영업/정상","13","영업중","","","","","02-935-0930","","","서울특별시 노원구 상계동 1132-35 3층~9층","서울특별시 노원구 동일로 1660 3층~9층 (상계동 롯데시네마 수락산)","01625","롯데시네마 노원수락산역 제2관","20220418103630","U","2021-12-03 22:00:00.0","","204839.977931148","463796.381217133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002013000007","20130419","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 509-2 홈플러스","서울특별시 노원구 동일로204가길 12 (중계동 홈플러스)","01783","CGV 중계 제6관","20220418110140","U","2021-12-03 22:00:00.0","","205985.953324881","459730.43776924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002013000006","20130419","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 509-2 홈플러스","서울특별시 노원구 동일로204가길 12 (중계동 홈플러스)","01783","CGV 중계 제5관","20220418110131","U","2021-12-03 22:00:00.0","","205985.953324881","459730.43776924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002012000001","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제7관)","20220628093729","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002013000005","20130419","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 509-2 홈플러스","서울특별시 노원구 동일로204가길 12 (중계동 홈플러스)","01783","CGV 중계 제4관","20220418110124","U","2021-12-03 22:00:00.0","","205985.953324881","459730.43776924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002005000002","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제2관)","20220628093628","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002005000008","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제10관)","20220628093720","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002013000004","20130419","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 509-2 홈플러스","서울특별시 노원구 동일로204가길 12 (중계동 홈플러스)","01783","CGV 중계 제3관","20220418110024","U","2021-12-03 22:00:00.0","","205985.953324881","459730.43776924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002005000004","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제4관)","20220628093646","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002005000005","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제5관)","20220628093654","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002005000006","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제8관)","20220628093702","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002012000002","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제6관 아르떼)","20220829211255","U","2021-12-07 21:01:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002005000007","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제9관)","20220628093711","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002013000003","20130419","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 509-2 홈플러스","서울특별시 노원구 동일로204가길 12 (중계동 홈플러스)","01783","CGV 중계 제2관","20220418110014","U","2021-12-03 22:00:00.0","","205985.953324881","459730.43776924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002005000003","20051115","","01","영업/정상","13","영업중","","","","","070-4914-5901","","","서울특별시 노원구 상계동 713","서울특별시 노원구 동일로 1414 (상계동)","","롯데시네마 노원(제3관)","20220628093637","U","2021-12-05 21:00:00.0","","205320.28476675","461419.881795004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002013000002","20130419","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 509-2 홈플러스","서울특별시 노원구 동일로204가길 12 (중계동 홈플러스)","01783","CGV 중계 제1관","20220418110004","U","2021-12-03 22:00:00.0","","205985.953324881","459730.43776924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002013000001","20130419","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 중계동 509-2 홈플러스","서울특별시 노원구 동일로204가길 12 (중계동 홈플러스)","01783","CGV 중계 제7관","20220418105953","U","2021-12-03 22:00:00.0","","205985.953324881","459730.43776924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFF4220002009000001","20090225","","01","영업/정상","13","영업중","","","","","070-7461-8286","","","서울특별시 관악구 신림동 1641-2 14층","서울특별시 관악구 신림로 330 (신림동14층)","","롯데시네마 신림 제6관","20220415111608","U","2021-12-03 23:07:00.0","","193754.427350029","442407.201247108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3120000","CDFF4220002008000001","20080718","","01","영업/정상","13","영업중","","","","","02-363-2537","","","서울특별시 서대문구 대신동 85 외 6필지 하니솔빌딩 A동 지하1층","서울특별시 서대문구 성산로 527 B1층 (대신동 하늬솔빌딩)","03721","필름포럼 1관","20220330170244","U","2021-12-04 00:01:00.0","","195028.400590649","451317.909486649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3120000","CDFF4220002008000002","20080718","","01","영업/정상","13","영업중","","","","","02-363-2537","","","서울특별시 서대문구 대신동 85 하늬솔빌딩","서울특별시 서대문구 성산로 527 하늬솔빌딩 A동 B1층 (대신동)","03721","필름포럼 2관","20220330180305","U","2021-12-04 00:01:00.0","","195028.400590649","451317.909486649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFF4220002006000003","20060928","","01","영업/정상","13","영업중","","","","","070-7465-3811","","","서울특별시 관악구 봉천동 862-1 12층","서울특별시 관악구 남부순환로 1820 12층 (봉천동 에그엘로우)","08787","롯데시네마 서울대입구제3관","20220415105835","U","2021-12-03 23:07:00.0","","195703.043681259","442094.085759338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFF4220002006000004","20060928","","01","영업/정상","13","영업중","","","","","070-7465-3811","","","서울특별시 관악구 봉천동 862-1 12층","서울특별시 관악구 남부순환로 1820 12층 (봉천동 에그엘로우)","08787","롯데시네마 서울대입구제4관","20220415105847","U","2021-12-03 23:07:00.0","","195703.043681259","442094.085759338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFF4220002022000003","20220729","","01","영업/정상","13","영업중","","","","","070-4757-7977","","","서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처","서울특별시 동작구 시흥대로 606 지2층 (신대방동 동작 협성휴포레 시그니처)","07074","롯데시네마 신대방 3관","20220729133804","I","2021-12-06 21:01:00.0","","191555.354381759","442679.208790615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFF4220002022000001","20220729","","01","영업/정상","13","영업중","","","","","070-4757-7977","","","서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처","서울특별시 동작구 시흥대로 606 지2층 (신대방동 동작 협성휴포레 시그니처)","07074","롯데시네마 신대방 1관","20220729132744","I","2021-12-06 21:01:00.0","","191555.354381759","442679.208790615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFF4220002006000005","20060928","","01","영업/정상","13","영업중","","","","","070-7465-3811","","","서울특별시 관악구 봉천동 862-1 12층","서울특별시 관악구 남부순환로 1820 12층 (봉천동 에그엘로우)","08787","롯데시네마 서울대입구제5관","20220415105859","U","2021-12-03 23:07:00.0","","195703.043681259","442094.085759338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFF4220002022000002","20220729","","01","영업/정상","13","영업중","","","","","070-4757-7977","","","서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처","서울특별시 동작구 시흥대로 606 지2층 (신대방동 동작 협성휴포레 시그니처)","07074","롯데시네마 신대방 2관","20220729133409","I","2021-12-06 21:01:00.0","","191555.354381759","442679.208790615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFF4220002022000006","20220729","","01","영업/정상","13","영업중","","","","","070-4757-7977","","","서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처","서울특별시 동작구 시흥대로 606 지2층 (신대방동 동작 협성휴포레 시그니처)","07074","롯데시네마 신대방 6관","20220729221842","I","2021-12-06 21:01:00.0","","191555.354381759","442679.208790615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFF4220002022000004","20220729","","01","영업/정상","13","영업중","","","","","070-4757-7977","","","서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처","서울특별시 동작구 시흥대로 606 지2층 (신대방동 동작 협성휴포레 시그니처)","07074","롯데시네마 신대방 4관","20220729134123","I","2021-12-06 21:01:00.0","","191555.354381759","442679.208790615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFF4220002006000002","20060928","","01","영업/정상","13","영업중","","","","","070-7465-3811","","","서울특별시 관악구 봉천동 862-1 12층","서울특별시 관악구 남부순환로 1820 12층 (봉천동 에그엘로우)","08787","롯데시네마 서울대입구제2관","20220415105819","U","2021-12-03 23:07:00.0","","195703.043681259","442094.085759338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFF4220002022000005","20220729","","01","영업/정상","13","영업중","","","","","070-4757-7977","","","서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처","서울특별시 동작구 시흥대로 606 지2층 (신대방동 동작 협성휴포레 시그니처)","07074","롯데시네마 신대방 5관","20220729221452","I","2021-12-06 21:01:00.0","","191555.354381759","442679.208790615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFF4220002012000001","20120511","","03","폐업","03","폐업","20220825","","","","02-2024-1646","","","서울특별시 광진구 자양동 227-7 더샵스타시티","서울특별시 광진구 아차산로 272 더샵스타시티 (자양동)","05065","롯데시네마 건대입구관 (아르떼관)","20220913090238","U","2021-12-08 23:05:00.0","","206349.675048285","448396.939704285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFF4220002006000005","20060406","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로2가 65-9","서울특별시 중구 퇴계로 123 (충무로2가)","","CGV 명동역 씨네라이브러리 4관","20220919184357","U","2021-12-08 22:01:00.0","","198636.2503948","451005.721641592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFF4220002006000002","20060406","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로2가 65-9","서울특별시 중구 퇴계로 123 (충무로2가)","","CGV명동역 씨네라이브러리 3관","20220919183328","U","2021-12-08 22:01:00.0","","198636.2503948","451005.721641592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFF4220002006000008","20060406","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로2가 65-9","서울특별시 중구 퇴계로 123 (충무로2가)","","CGV 명동역 씨네라이브러리 5관","20220919184621","U","2021-12-08 22:01:00.0","","198636.2503948","451005.721641592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3200000","CDFF4220002006000001","20060928","","01","영업/정상","13","영업중","","","","","070-7465-3811","","","서울특별시 관악구 봉천동 862-1 12층","서울특별시 관악구 남부순환로 1820 12층 (봉천동 에그엘로우)","08787","롯데시네마 서울대입구1관","20221004172524","U","2021-10-31 00:06:00.0","","195703.043681259","442094.085759338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFF4220002005000005","20050426","","01","영업/정상","13","영업중","","","","","02)2670-8240","","","서울특별시 영등포구 영등포동 618-496 외 12필지","서울특별시 영등포구 경인로 846 A동 7~9층 (영등포동 롯데백화점 영등포점)","07306","롯데시네마 영등포 5관","20220406152947","U","2021-12-04 00:08:00.0","","191741.345847708","445970.307641467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFF4220002005000006","20050426","","01","영업/정상","13","영업중","","","","","02)2670-8240","","","서울특별시 영등포구 영등포동 618-496 외 12필지","서울특별시 영등포구 경인로 846 A동 7~9층 (영등포동 롯데백화점 영등포점)","07306","롯데시네마 영등포 6관","20220406153002","U","2021-12-04 00:08:00.0","","191741.345847708","445970.307641467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFF4220002005000007","20050426","","01","영업/정상","13","영업중","","","","","02)2670-8240","","","서울특별시 영등포구 영등포동 618-496 외 12필지","서울특별시 영등포구 경인로 846 A동 7~9층 (영등포동 롯데백화점 영등포점)","07306","롯데시네마 영등포 7관","20220406153017","U","2021-12-04 00:08:00.0","","191741.345847708","445970.307641467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFF4220002005000001","20050426","","01","영업/정상","13","영업중","","","","","02)2670-8240","","","서울특별시 영등포구 영등포동 618-496 외 12필지","서울특별시 영등포구 경인로 846 A동 7~9층 (영등포동 롯데백화점 영등포점)","07306","롯데시네마 영등포 1관","20220406152840","U","2021-12-04 00:08:00.0","","191741.345847708","445970.307641467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFF4220002005000004","20050426","","01","영업/정상","13","영업중","","","","","02)2670-8240","","","서울특별시 영등포구 영등포동 618-496 외 12필지","서울특별시 영등포구 경인로 846 A동 7~9층 (영등포동 롯데백화점 영등포점)","07306","롯데시네마 영등포 4관","20220406152931","U","2021-12-04 00:08:00.0","","191741.345847708","445970.307641467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
